id,score,attempts,correct_count,wrong_count,avg_response_ms,last_response_ms,last_delta,updated_at
ko-0171,230,1,0,1,3619,3619,-20,2026-05-25T14:28:09.029Z
ko-0172,277,1,1,0,2317,2317,27,2026-05-25T20:23:23.658Z
ko-0173,302,2,2,0,2666,2942,25,2026-05-25T14:13:55.112Z
ko-0179,258,1,1,0,7368,7368,8,2026-05-25T13:22:20.437Z
ko-0181,230,1,0,1,9226,9226,-20,2026-05-25T15:23:29.991Z
ko-0183,253,2,1,1,20231,3241,23,2026-05-25T20:21:41.515Z
ko-0185,230,1,0,1,3839,3839,-20,2026-05-25T14:44:45.908Z
ko-0186,262,2,1,1,2409,3801,-20,2026-05-25T20:27:35.443Z
ko-0187,299,2,2,0,2996,3154,24,2026-05-25T14:44:59.271Z
ko-0188,338,3,3,0,1679,1257,31,2026-05-25T14:29:06.704Z
ko-0189,275,1,1,0,2779,2779,25,2026-05-25T13:26:29.769Z
ko-0190,308,2,2,0,1678,1912,28,2026-05-25T15:24:45.802Z
ko-0191,230,1,0,1,5036,5036,-20,2026-05-25T20:19:48.639Z
ko-0193,256,1,1,0,96778,96778,6,2026-05-25T13:52:30.045Z
ko-0194,309,2,2,0,1506,1125,31,2026-05-25T14:29:32.362Z
ko-0195,230,1,0,1,2012,2012,-20,2026-05-25T14:44:19.513Z
ko-0196,304,2,2,0,2232,2153,27,2026-05-25T20:22:05.063Z
ko-0197,256,1,1,0,18384,18384,6,2026-05-25T20:21:23.088Z
ko-0199,276,1,1,0,2577,2577,26,2026-05-25T20:31:18.466Z
ko-0202,302,2,2,0,2491,3354,23,2026-05-25T14:25:26.987Z
ko-0206,231,3,1,2,8591,8172,-20,2026-05-25T20:26:02.339Z
ko-0207,278,1,1,0,2104,2104,28,2026-05-25T13:26:02.875Z
ko-0208,268,1,1,0,4625,4625,18,2026-05-25T13:45:51.152Z
ko-0210,258,3,2,1,5663,5209,-20,2026-05-25T15:22:27.415Z
ko-0213,256,1,1,0,8908,8908,6,2026-05-25T13:45:32.541Z
ko-0214,272,1,1,0,3536,3536,22,2026-05-25T14:26:23.816Z
ko-0215,277,1,1,0,2133,2133,27,2026-05-25T13:48:54.867Z
ko-0217,277,1,1,0,2393,2393,27,2026-05-25T13:49:04.115Z
ko-0218,277,1,1,0,2158,2158,27,2026-05-25T13:48:36.939Z
ko-0220,278,1,1,0,1895,1895,28,2026-05-25T20:32:02.708Z
ko-0222,309,3,3,0,7711,2154,27,2026-05-25T14:25:16.310Z
ko-0224,277,1,1,0,2350,2350,27,2026-05-25T13:28:06.674Z
ko-0226,277,1,1,0,2244,2244,27,2026-05-25T14:15:00.046Z
ko-0229,256,1,1,0,10465,10465,6,2026-05-25T14:15:58.245Z
ko-0230,230,1,0,1,2510,2510,-20,2026-05-25T20:22:35.872Z
ko-0231,277,1,1,0,2207,2207,27,2026-05-25T14:26:47.452Z
ko-0234,303,2,2,0,2366,1198,31,2026-05-25T20:25:47.213Z
ko-0235,279,3,2,1,3766,5728,-20,2026-05-25T20:17:19.074Z
ko-0237,300,2,2,0,2847,2665,26,2026-05-25T20:14:58.563Z
ko-0238,273,1,1,0,3406,3406,23,2026-05-25T20:14:42.047Z
ko-0239,263,3,2,1,6106,2211,27,2026-05-25T15:22:17.826Z
ko-0241,272,1,1,0,3635,3635,22,2026-05-25T14:25:22.381Z
ko-0242,275,1,1,0,2847,2847,25,2026-05-25T14:14:57.395Z
ko-0243,249,2,1,1,4855,5173,-20,2026-05-25T14:14:27.566Z
ko-0244,255,2,1,1,16635,30373,-20,2026-05-25T13:43:08.185Z
ko-0246,259,1,1,0,7147,7147,9,2026-05-25T20:16:15.356Z
ko-0247,264,2,1,1,1,1,34,2026-05-25T13:26:12.809Z
ko-0248,271,1,1,0,3958,3958,21,2026-05-25T20:33:53.604Z
ko-0249,297,2,2,0,2990,5978,13,2026-05-25T13:48:10.561Z
ko-0250,279,1,1,0,1829,1829,29,2026-05-25T13:25:35.820Z
ko-0251,268,1,1,0,4677,4677,18,2026-05-25T15:24:54.544Z
ko-0253,277,1,1,0,2153,2153,27,2026-05-25T14:25:39.939Z
ko-0254,268,1,1,0,4693,4693,18,2026-05-25T13:50:53.005Z
ko-0256,210,2,0,2,5781,4674,-20,2026-05-25T20:17:06.138Z
ko-0258,273,1,1,0,3262,3262,23,2026-05-25T20:14:26.397Z
ko-0260,272,1,1,0,3569,3569,22,2026-05-25T13:47:59.784Z
ko-0262,278,1,1,0,1987,1987,28,2026-05-25T13:13:39.080Z
ko-0264,269,1,1,0,4395,4395,19,2026-05-25T13:28:32.104Z
ko-0265,274,1,1,0,3036,3036,24,2026-05-25T13:41:33.913Z
ko-0267,296,2,2,0,3320,4445,19,2026-05-25T20:18:43.665Z
ko-0268,302,2,2,0,2574,2262,27,2026-05-25T14:25:13.537Z
